group_window_id,video_id,context,window_start_sec,window_end_sec,active_tracks,mean_distance_5s_px,median_distance_5s_px,mean_distance_last_1s_px,mean_speed_px_s,mean_immobile_ratio,mean_y_norm,std_y_norm_between_tracks,mean_x_norm,std_x_norm_between_tracks
V4_BREEDING:GW000102000,V4_BREEDING,BREEDING_PARENTAL_CARE,102.0,107.0,1,130.65429074529143,130.65429074529143,17.768195017406878,26.377842574060008,0.4154929577464789,0.763958386996965,0.0,0.841134992679516,0.0
V4_BREEDING:GW000103000,V4_BREEDING,BREEDING_PARENTAL_CARE,103.0,108.0,1,278.73533821594526,278.73533821594526,170.88503626028947,55.88045510931095,0.34265734265734266,0.748513474508568,0.0,0.8451617436276542,0.0
V4_BREEDING:GW000104000,V4_BREEDING,BREEDING_PARENTAL_CARE,104.0,109.0,1,360.98948935112446,360.98948935112446,119.16406939070811,72.88030011626167,0.28169014084507044,0.7011043201793324,0.0,0.8383015442561436,0.0
V4_BREEDING:GW000105000,V4_BREEDING,BREEDING_PARENTAL_CARE,105.0,110.0,1,534.9958712329537,534.9958712329537,187.88056932122777,108.01051223542366,0.16901408450704225,0.6260650999340421,0.0,0.8076637022978777,0.0
V4_BREEDING:GW000106000,V4_BREEDING,BREEDING_PARENTAL_CARE,106.0,111.0,1,535.9459845785632,535.9459845785632,22.8252661137472,107.44567130937307,0.16783216783216784,0.5537466822950928,0.0,0.7651949225200547,0.0
V4_BREEDING:GW000107000,V4_BREEDING,BREEDING_PARENTAL_CARE,107.0,112.0,1,524.3481018785102,524.3481018785102,8.249305958350213,105.86083018369607,0.24647887323943662,0.48466881016195507,0.0,0.7221453104819451,0.0
V4_BREEDING:GW000108000,V4_BREEDING,BREEDING_PARENTAL_CARE,108.0,113.0,1,369.2197525996873,369.2197525996873,22.362193712106418,74.54191097554111,0.36619718309859156,0.4284580380766542,0.0,0.6785421761599454,0.0
V4_BREEDING:GW000109000,V4_BREEDING,BREEDING_PARENTAL_CARE,109.0,114.0,1,252.9997288811658,252.9997288811658,8.316060767921712,50.72101758930494,0.5174825174825175,0.40431333062825375,0.0,0.6452434107661247,0.0
V4_BREEDING:GW000110000,V4_BREEDING,BREEDING_PARENTAL_CARE,110.0,115.0,1,72.78707034241461,72.78707034241461,8.939046747979068,14.695008269282521,0.676056338028169,0.4033546667832593,0.0,0.6305908213128577,0.0
V4_BREEDING:GW000111000,V4_BREEDING,BREEDING_PARENTAL_CARE,111.0,116.0,1,65.25736690320478,65.25736690320478,15.817291190162381,13.174833686297816,0.7112676056338029,0.4034507560285376,0.0,0.6284277280727466,0.0
