trajectory_uid,video_id,pred_track_id,trajectory_segment_id,points,observed_points,interpolated_points,duration_sec,mean_raw_step_px,mean_clean_step_px,max_clean_step_px
V3_FEEDING:T33:S2,V3_FEEDING,33,2,9,9,0,0.2812741055718462,2.7327240026018735,2.058184078678397,3.1722564697265625
V3_FEEDING:T34:S0,V3_FEEDING,34,0,31,31,0,1.0547778958944285,6.941056382577176,5.316644475503406,19.806342688782113
V3_FEEDING:T34:S1,V3_FEEDING,34,1,5,5,0,0.1406370527859231,10.574485569342935,6.80788635755146,7.50835785730536
V3_FEEDING:T34:S3,V3_FEEDING,34,3,14,14,0,0.4570704215542509,3.0375286820921596,2.408571403237973,4.924482225063385
V3_FEEDING:T34:S4,V3_FEEDING,34,4,24,24,0,0.8086630535190604,3.3576072103897556,2.8868549873610094,9.183739984562884
V3_FEEDING:T35:S0,V3_FEEDING,35,0,6,6,0,0.17579631598240475,2.83887109243138,1.22915745100424,1.990601397265218
V3_FEEDING:T36:S0,V3_FEEDING,36,0,59,59,0,2.0392372653958937,2.5261131903346863,2.0258437179504734,7.357462321399026
V3_FEEDING:T37:S0,V3_FEEDING,37,0,24,24,0,0.8086630535190622,6.131238323648227,5.457098501791526,15.64801586816028
V3_FEEDING:T37:S1,V3_FEEDING,37,1,11,11,0,0.3515926319648095,3.8151589465460396,2.7982457395339395,5.0577788819009895
V3_FEEDING:T3:S0,V3_FEEDING,3,0,28,28,0,0.9493001063049852,6.527348092676823,6.044193531410328,15.140534605903225
V3_FEEDING:T40:S0,V3_FEEDING,40,0,18,18,0,0.5977074743401758,5.149185413444539,4.717427493191194,13.777458412739364
V3_FEEDING:T40:S1,V3_FEEDING,40,1,208,204,4,7.2779674816715545,6.931541306947147,6.578559398886446,28.044454485577514
V3_FEEDING:T42:S0,V3_FEEDING,42,0,37,37,0,1.2657334750733131,5.926898955461055,5.552347716186113,20.66349294208725
V3_FEEDING:T43:S0,V3_FEEDING,43,0,163,163,0,5.69580063782991,3.2823256455788283,2.9170786138852667,12.666556849750814
V3_FEEDING:T44:S0,V3_FEEDING,44,0,86,83,3,2.9885373717008807,2.991499666068675,2.282392720077027,10.253749029679934
V3_FEEDING:T45:S0,V3_FEEDING,45,0,49,48,1,1.6876446334310842,7.75055967194221,7.144690088841275,14.147340419735793
V3_FEEDING:T48:S0,V3_FEEDING,48,0,25,24,1,0.8438223167155421,10.52583914742045,9.195560275164734,31.93346814163047
V3_FEEDING:T49:S0,V3_FEEDING,49,0,185,184,1,6.4693044281524905,4.563639492870728,3.549351943006117,24.905988719623036
V3_FEEDING:T49:S1,V3_FEEDING,49,1,373,373,0,13.079245909090908,2.1850444303235994,1.5760355574432723,18.82560390976082
V3_FEEDING:T4:S0,V3_FEEDING,4,0,106,103,3,3.691722635630498,3.2916834846072707,2.4616989320581624,11.980046860973662
V3_FEEDING:T50:S0,V3_FEEDING,50,0,38,38,0,1.300892738269793,3.6909171499292746,3.2690554618746788,8.305191894287756
V3_FEEDING:T51:S0,V3_FEEDING,51,0,54,51,3,1.8634409494134907,5.655073893810514,5.03693760815069,13.08243812036926
V3_FEEDING:T53:S1,V3_FEEDING,53,1,34,34,0,1.1602556854838717,2.490219284551655,1.530899038595169,5.307355856778773
V3_FEEDING:T55:S0,V3_FEEDING,55,0,35,35,0,1.1954149486803516,5.914926969260641,5.495734899081498,13.455035819704094
V3_FEEDING:T56:S0,V3_FEEDING,56,0,473,473,0,16.595172228738996,4.96404709559459,4.706414507805759,21.07915789404688
V3_FEEDING:T56:S1,V3_FEEDING,56,1,257,257,0,9.00077137829912,4.313651064499611,3.8471081878668203,24.837545869614996
V3_FEEDING:T57:S0,V3_FEEDING,57,0,180,179,1,6.2935081121700875,4.364379480119905,3.778131848903389,24.34769230300051
